Category: All categories

Day,FiveThirtyEight: (Wisconsin)
2024-09-18,29
2024-09-19,24
2024-09-20,26
2024-09-21,24
2024-09-22,21
2024-09-23,29
2024-09-24,24
2024-09-25,24
2024-09-26,18
2024-09-27,25
2024-09-28,21
2024-09-29,18
2024-09-30,23
2024-10-01,21
2024-10-02,23
2024-10-03,24
2024-10-04,21
2024-10-05,20
2024-10-06,18
2024-10-07,27
2024-10-08,28
2024-10-09,21
2024-10-10,29
2024-10-11,32
2024-10-12,18
2024-10-13,24
2024-10-14,40
2024-10-15,27
2024-10-16,28
2024-10-17,35
2024-10-18,28
2024-10-19,30
2024-10-20,30
2024-10-21,36
2024-10-22,32
2024-10-23,35
2024-10-24,34
2024-10-25,31
2024-10-26,35
2024-10-27,30
2024-10-28,46
2024-10-29,53
2024-10-30,48
2024-10-31,53
2024-11-01,48
2024-11-02,51
2024-11-03,67
2024-11-04,75
2024-11-05,100
